Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_RO,Chrome 133.0.0.0,,,12-09-2025 10:41:30,12-09-2025 10:41:55,24.859s,FAILED
,,,,,,,
Test Cases/Awasrik/Login/TC-001_Login_User_Valid,Chrome 133.0.0.0,,,12-09-2025 10:41:50,12-09-2025 10:41:55,5.476s,FAILED
"openBrowser("""")",Chrome 133.0.0.0,,,12-09-2025 10:41:50,12-09-2025 10:41:52,1.784s,PASSED
"navigateToUrl(""https://qc167.bpjs-kesehatan.go.id/awasrik/Home/Login"")",Chrome 133.0.0.0,,,12-09-2025 10:41:52,12-09-2025 10:41:54,2.051s,PASSED
"setText(findTestObject(""Object Repository/Page_Awasrik  Log in/input_v 5.2.0_txtusername""), username)",Chrome 133.0.0.0,,,12-09-2025 10:41:54,12-09-2025 10:41:55,1.258s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Awasrik  Log in/input_Username_txtpassword""), password)",Chrome 133.0.0.0,,,12-09-2025 10:41:55,12-09-2025 10:41:55,0.335s,FAILED
