Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Input_Data_Analisa_Data_Mandiri,Chrome 133.0.0.0,,,12-09-2025 16:18:43,12-09-2025 16:19:06,23.133s,PASSED
,,,,,,,
Test Cases/Awasrik/Login/TC-001_Login_User_Valid,Chrome 133.0.0.0,,,12-09-2025 16:18:44,12-09-2025 16:18:54,10.301s,PASSED
"openBrowser("""")",Chrome 133.0.0.0,,,12-09-2025 16:18:44,12-09-2025 16:18:48,3.757s,PASSED
"navigateToUrl(""https://qc167.bpjs-kesehatan.go.id/awasrik/Home/Login"")",Chrome 133.0.0.0,,,12-09-2025 16:18:48,12-09-2025 16:18:48,0.197s,PASSED
"setText(findTestObject(""Object Repository/Page_Awasrik  Log in/input_v 5.2.0_txtusername""), username)",Chrome 133.0.0.0,,,12-09-2025 16:18:48,12-09-2025 16:18:51,2.980s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Awasrik  Log in/input_Username_txtpassword""), password)",Chrome 133.0.0.0,,,12-09-2025 16:18:51,12-09-2025 16:18:52,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Log in/button_Login""))",Chrome 133.0.0.0,,,12-09-2025 16:18:52,12-09-2025 16:18:52,0.424s,PASSED
"verifyTextPresent(""Next Project"", false)",Chrome 133.0.0.0,,,12-09-2025 16:18:52,12-09-2025 16:18:54,1.838s,PASSED
,,,,,,,
Test Cases/Awasrik/Analisa Data/TC-001_Input_Analisa_Data,Chrome 133.0.0.0,,,12-09-2025 16:18:54,12-09-2025 16:19:06,11.979s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Selamat Datang/p_Analisa Data Mandiri""))",Chrome 133.0.0.0,,,12-09-2025 16:18:54,12-09-2025 16:18:56,1.884s,PASSED
"dataBU = findTestData(""Data Files/Data BU"")",Chrome 133.0.0.0,,,12-09-2025 16:18:56,12-09-2025 16:18:58,1.700s,PASSED
"for ([i = 1, i <= dataBU.getRowNumbers(), (i++)])",Chrome 133.0.0.0,,,12-09-2025 16:18:58,12-09-2025 16:19:01,3.459s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Analisa Data Mandiri/button_Cari""))",Chrome 133.0.0.0,,,12-09-2025 16:19:01,12-09-2025 16:19:02,0.475s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Analisa Data Mandiri/button_Tambah""))",Chrome 133.0.0.0,,,12-09-2025 16:19:02,12-09-2025 16:19:03,0.825s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Analisa Data Mandiri/input_Tanggal Pemeriksaan_swalTglPeriksa""))",Chrome 133.0.0.0,,,12-09-2025 16:19:03,12-09-2025 16:19:04,0.719s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Analisa Data Mandiri/td_13""))",Chrome 133.0.0.0,,,12-09-2025 16:19:04,12-09-2025 16:19:04,0.598s,PASSED
"click(findTestObject(""Object Repository/Page_Awasrik  Analisa Data Mandiri/button_Simpan""))",Chrome 133.0.0.0,,,12-09-2025 16:19:04,12-09-2025 16:19:05,0.616s,PASSED
"if (verifyTextPresent(""Progress Berhasil"", false, OPTIONAL))",Chrome 133.0.0.0,,,12-09-2025 16:19:05,12-09-2025 16:19:06,1.061s,PASSED
"else if (verifyTextPresent(""Perhatian Badan Usaha ini terdapat pada data pemeriksaan kantor tahap: Perencanaan Kantor"", false, OPTIONAL))",Chrome 133.0.0.0,,,12-09-2025 16:19:06,12-09-2025 16:19:06,0.002s,PASSED
else,Chrome 133.0.0.0,,,12-09-2025 16:19:06,12-09-2025 16:19:06,0.009s,PASSED
